subject_name,course_name,course_url
Business Courses,"
                     Foundations of Business Strategy
                   ",https://www.classcentral.com/course/strategy101-546
Business Courses,"
                     Viral Marketing and How to Craft Contagious Content
                   ",https://www.classcentral.com/course/wharton-contagious-viral-marketing-5034
Business Courses,"
                     Introduction to Corporate Finance
                   ",https://www.classcentral.com/course/whartonfinance-625
Business Courses,"
                     Sustainable Tourism: Rethinking the future
                   ",https://www.classcentral.com/course/edx-sustainable-tourism-rethinking-the-future-10357
Business Courses,"
                     Email marketing: diseño y gestión de campañas
                   ",https://www.classcentral.com/course/edx-email-marketing-diseno-y-gestion-de-campanas-13486
Business Courses,"
                     Product Management Fundamentals
                   ",https://www.classcentral.com/course/edx-product-management-fundamentals-19098
Business Courses,"
                     Business Strategy
                   ",https://www.classcentral.com/course/strategy-business-5242
Business Courses,"
                     Initiating and Planning Projects
                   ",https://www.classcentral.com/course/planningprojects-2728
Business Courses,"
                     Protecting Business Innovations via Trademark
                   ",https://www.classcentral.com/course/protect-business-innovations-trademark-10038
Business Courses,"
                     How to Build a Startup
                   ",https://www.classcentral.com/course/udacity-how-to-build-a-startup-461
Business Courses,"
                     Google Ads: publicidad efectiva
                   ",https://www.classcentral.com/course/edx-google-ads-publicidad-efectiva-13433
Business Courses,"
                     The Science of Success: What Researchers Know that You Should Know
                   ",https://www.classcentral.com/course/success-8087
Business Courses,"
                     New Models of Business in Society
                   ",https://www.classcentral.com/course/businessinsociety-648
Business Courses,"
                     Certificate Program in Public Procurement
                   ",https://www.classcentral.com/course/independent-certificate-program-in-public-procurement-2982
Business Courses,"
                     Customer Analytics
                   ",https://www.classcentral.com/course/wharton-customer-analytics-4353
Business Courses,"
                     Cómo implantar grupos de mejora de procesos
                   ",https://www.classcentral.com/course/edx-como-implantar-grupos-de-mejora-de-procesos-2959
Business Courses,"
                     Fundamentals of Project Management
                   ",https://www.classcentral.com/course/independent-fundamentals-of-project-management-11970
Business Courses,"
                     On Strategy : What Managers Can Learn from Philosophy - PART 1
                   ",https://www.classcentral.com/course/businessandphilo-1312
Business Courses,"
                     International Leadership and Organizational Behavior
                   ",https://www.classcentral.com/course/intorb-1371
Business Courses,"
                     Finance for Non-Financial Professionals
                   ",https://www.classcentral.com/course/financeforpeople-2726
Business Courses,"
                     What is Social?
                   ",https://www.classcentral.com/course/what-is-social-4205
Business Courses,"
                     Introduction to Personal Branding
                   ",https://www.classcentral.com/course/personal-branding-4865
Business Courses,"
                     Cómo diagnosticar mis competencias de innovación
                   ",https://www.classcentral.com/course/edx-como-diagnosticar-mis-competencias-de-innovacion-7233
Business Courses,"
                     Valoración de Futbolistas con el Método AHP
                   ",https://www.classcentral.com/course/edx-valoracion-de-futbolistas-con-el-metodo-ahp-2953
Business Courses,"
                     Managerial Accounting: Cost Behaviors, Systems, and Analysis
                   ",https://www.classcentral.com/course/acctcostanalysis-2751
Business Courses,"
                     Financial Engineering and Risk Management Part I
                   ",https://www.classcentral.com/course/financialengineering1-1014
Business Courses,"
                     Budgeting and Scheduling Projects
                   ",https://www.classcentral.com/course/budgetingprojects-2729
Business Courses,"
                     The Global Financial Crisis
                   ",https://www.classcentral.com/course/global-financial-crisis-4893
Business Courses,"
                     Machine Learning for Trading
                   ",https://www.classcentral.com/course/udacity-machine-learning-for-trading-1026
Business Courses,"
                     Forensic Accounting and Fraud Examination
                   ",https://www.classcentral.com/course/forensicaccounting-2465
Business Courses,"
                     Fundamentals of Management
                   ",https://www.classcentral.com/course/funmanage-2720
Business Courses,"
                     The Language and Tools of Financial Analysis
                   ",https://www.classcentral.com/course/financialanalysis-3330
Business Courses,"
                     Marketing Analytics
                   ",https://www.classcentral.com/course/market-analytics-4868
Business Courses,"
                     Entrepreneurship 2: Launching your Start-Up
                   ",https://www.classcentral.com/course/wharton-launching-startup-5468
Business Courses,"
                     Project Management Basics
                   ",https://www.classcentral.com/course/open-education-by-blackboard-project-management-basics-794
